Material_Class,Composition_Formula,Hydrogen_Weight_Percent,Heat_of_Formation_kJperMolH2,Temperature_oC,Pressure_Atmospheres_Absolute,Entropy_of_Formation_JperMolH2perK,Equilibrium_Pressure_25C,LnEquilibrium_Pressure_25C,HtoM,atomic_mass_weighted,atomic_radius_weighted,melting_point_weighted,PC1,PC2,PC3
AB2,Zr1V0.5Fe1.5,1.6,32.2,50.0,0.25,88.11825637472482,0.0915169782434661,-2.3912307693403814,1.0778931152406763,71.32181956764927,1.461907229416012,2002.5229775182108,-1.9863323673689879,0.3429905375260838,-0.48668599833764886
AB2,Zr1Al0.4Fe1.6,1.0,36.0,24.0,10.0,140.29499244596423,10.500875281684012,2.3514586138495948,0.639224972743306,71.0820943905206,1.46304433805021,1912.6214917384618,-1.7030075157425373,0.16763954924771018,-0.5262351820967099
AB2,ZrCrFe,1.7,49.4,50.0,0.1,133.72612555083708,0.0214009528751074,-3.8443198310714446,1.1384363208943575,71.05251807680001,1.4687393219605045,2052.6524488722534,-2.239631070851162,0.4071559705348923,-0.697365246969265
AB2,ZrMnFe,1.6,31.0,150.0,10.0,92.40413183425557,0.2486653192057567,-1.391647386204773,1.086199536499333,71.57508288595591,1.4677382316047445,1874.7408406226625,-2.1832280820135304,0.3694327899865079,-0.8098733824416345
AB2,ZrFeMo,1.2,29.8,30.0,0.6,94.0540855801756,0.492084862510974,-0.7091040925852156,0.976033834586466,84.95556049775935,1.476049035220918,2358.3579497055666,-2.2060877477595087,0.39227171928028914,-0.7705282905190107
AB2,ZrVFe,1.6,48.1,50.0,0.0012,92.93095923254762,0.0002674450339042,-8.226596493474071,1.0647099625758163,70.88269876218685,1.456242093222329,2052.7459983182707,-1.7968579530920272,0.3341477448098679,-0.2628772501129059
AB2,Zr1Mn1.11Fe1.22,1.3,29.4,30.0,2.0,102.74462810114562,1.6446542301702736,0.4975301676980253,0.8645839141808622,70.24167051114374,1.4621032964639307,1861.4297178003512,-2.149624490937815,0.36408939332778384,-0.7848164551659551
AB2,Zr1Mn1.22Fe1.11,1.5,13.0,23.0,1.0,43.896673982779,1.0360513734668595,0.0354167308963071,0.9991697866285428,70.22330564095172,1.462131428686689,1853.440215781095,-2.1498791433686817,0.365870093943867,-0.794100771421751
AB2,Zr1Mn1.22Fe1.14,1.2,31.0,40.0,2.0,104.75702815761798,1.0986902644747123,0.0941188017358743,0.7958014416335025,70.1147548401685,1.4616623597639546,1853.1198081111306,-2.145141263492898,0.3654111968998205,-0.7888188215169927
AB2,Zr1Mn1.2Fe0.4,1.5,33.0,50.0,0.4,94.50157179099698,0.1428165264580558,-1.9461945042740365,1.042931367490378,73.4931346983143,1.4762369984511579,1864.8628524945786,-2.220661069093495,0.3858364880271059,-0.8663616341884011
AB2,Zr1Mn1.53Fe1.27,1.0,9.0,23.0,4.0,41.91587680415503,4.099289378437095,1.410813636355795,0.6492513872275386,68.6441446498582,1.4555786713982575,1828.7654147435069,-2.1157881169997217,0.36155699501475685,-0.7801236704093849
AB2,Zr1Mn1.8,1.6,38.8,50.0,0.1,100.92402126490174,0.0297923909389378,-3.513502255694513,1.0952593018914885,72.34957916918482,1.4719763369980954,1811.223928212267,-2.2079967849129605,0.390109565024108,-0.9127727581995253
AB2,ZrMn2,1.7,37.4,50.0,0.01,77.44760929446385,0.0031122963116446,-5.772394461374624,1.150074255060903,71.39825622576325,1.4680437288715282,1795.2575392184058,-2.188329039589053,0.3872089328263223,-0.9065300230913838
AB2,Zr1Mn2.5,1.4,32.0,50.0,0.07,76.9157097164375,0.0257851997667297,-3.657954604108421,0.9198988719050838,69.42009781420079,1.4598663566145667,1762.0574078551404,-2.1513138917333015,0.3812309853351447,-0.8967665481045942
AB2,Zr1Mn2.6Fe0.2,1.4,15.0,100.0,0.12,22.57010350904001,0.0355614117897666,-3.336494167500038,0.9090420751633986,68.47739085649796,1.455798609607574,1758.8413906294259,-2.1284564240104342,0.3759366336823762,-0.8715794417718762
AB2,Zr1Mn2.7,1.3,33.6,100.0,3.0,99.17825539017858,0.1967651633671726,-1.6257443254437691,0.846003781544245,68.75585790958269,1.4571205012087294,1750.9092349074415,-2.135420836939339,0.37958825511983296,-0.8890388344810776
AB2,Zr1Mn2.8,1.92,29.9,23.0,0.3,90.95232883354998,0.3254604522221802,-1.1225143232644297,1.0920713776591175,68.44607541704144,1.455839912785986,1745.7100459111034,-2.1279184820111676,0.378845683291382,-0.8852651246363401
